,title,author,main_genre,sub_genre,type,price,rating,num_of_people_rated,autor_api,year_public,isbn,price_euro
272,Mossad,Michael Bar-Zohar,"Biographies, Diaries & True Accounts",True Accounts,Paperback,₹180.00,4.5,9306.0,Michael Bar-Zohar,2012.0,9780062123442,2.016
274,India's Most Fearless 3,Rahul Singh,"Biographies, Diaries & True Accounts",True Accounts,Paperback,₹200.00,4.8,530.0,Shiv Aroor,2022.0,0143451111,2.2399999999999998
290,Conundrum,Chandrachur Ghose & Anuj Dhar,"Biographies, Diaries & True Accounts",True Accounts,Paperback,₹597.00,4.8,2093.0,Jan Morris coast to coast,1987.0,1590171896,6.6864
296,Man-eaters of Kumaon,Jim Corbett,"Biographies, Diaries & True Accounts",True Accounts,Paperback,₹137.00,4.6,386.0,Jim Corbett,1952.0,9780192730183,1.5344
301,The Psychology of Money,Morgan Housel,Business & Economics,Analysis & Strategy,Paperback,₹275.00,4.6,59634.0,Henry Clay Lindgren,1991.0,0894643991,3.08
304,A Beginner's Guide to the Stock Market,Matthew R. Kratter,Business & Economics,Analysis & Strategy,Kindle Edition,₹209.00,4.2,17879.0,Matthew R. Kratter,2019.0,1099617200,2.3407999999999998
307,The 5 AM Club,Robin Sharma,Business & Economics,Analysis & Strategy,Paperback,₹240.00,4.5,31455.0,Desconocido,,9789388423557,2.688
314,"Communication Book, The",Mikael Krogerus,Business & Economics,Analysis & Strategy,Hardcover,₹198.00,4.2,951.0,Joseph A. DeVito,1986.0,9780060416515,2.2176
316,"Thinking, Fast and Slow",Daniel Kahneman,Business & Economics,Analysis & Strategy,Audible Audiobook,₹957.00,4.5,29338.0,Daniel Kahneman,2016.0,9781464166174,10.718399999999999
318,Make You Bed,William H. McRaven,Business & Economics,Analysis & Strategy,Hardcover,₹209.00,4.5,20651.0,Tamicka Higgins,2016.0,1539572684,2.3407999999999998
320,HOW TO WIN FRIENDS AND INFLUENCE PEOPLE,Dale Carnegie,Business & Economics,Analysis & Strategy,Paperback,₹88.00,4.5,3997.0,Dale Carnegie,1932.0,9781982171452,0.9856
321,The Intelligent Investor Rev Ed.,Benjamin Graham,Business & Economics,Analysis & Strategy,Audible Audiobook,"₹2,194.00",4.5,45519.0,Richard B. Banks,2021.0,9798704149095,24.5728
333,7 Habits of Highly Effective People,STEPHEN R COVEY,Business & Economics,Analysis & Strategy,Paperback,₹369.00,4.5,12321.0,Stephen R. Covey,1989.0,9780768837339,4.1328
342,Shoe Dog,Phil Knight,Business & Economics,Analysis & Strategy,Paperback,₹321.00,4.6,58096.0,Phil Knight,2016.0,1471146731,3.5952
343,Start With Why,SINEK SIMON,Business & Economics,Analysis & Strategy,Paperback,₹399.00,4.5,22568.0,Simon Sinek,2009.0,0241958229,4.4688
346,The Psychology of Money,Morgan Housel,Business & Economics,Analysis & Strategy,Kindle Edition,₹174.80,4.6,59634.0,Henry Clay Lindgren,1991.0,0894643991,1.9577600000000002
347,Never Split the Difference : Negotiating as if Your Life Depended on It,Chris Voss,Business & Economics,Analysis & Strategy,Paperback,₹325.00,4.6,41015.0,Go BOOKS,2020.0,9798609019264,3.64
348,How To Win Friends And Influence People (Dale Carnegie Books),Dale Carnegie,Business & Economics,Analysis & Strategy,Paperback,₹143.00,4.7,30263.0,Quickread,2021.0,9798460327713,1.6016
350,The Power of Your Subconscious Mind,Joseph Murphy,Business & Economics,Economics,Paperback,₹99.00,4.5,81265.0,Joseph Murphy,1963.0,1490472673,1.1088
361,As a Man Thinketh,James Allen,Business & Economics,Economics,Paperback,₹69.00,4.4,12254.0,James Allen,2016.0,9781557484246,0.7728
371,Objective Computer Awareness,Arihant Experts,Business & Economics,Economics,Paperback,₹90.00,4.2,890.0,Experts Arihant,2016.0,9789351768173,1.008
372,Option​s Trading Handbook,Mahesh Chandra Kaushik,Business & Economics,Economics,Paperback,₹155.00,4.0,1338.0,Mahesh Kaushik Chandra,2021.0,9390378540,1.736
373,Think and Grow Rich,Napoleon Hill,Business & Economics,Economics,Audible Audiobook,₹166.00,4.4,74253.0,Napoleon Hill,1937.0,9789993734451,1.8592
374,Before You Start Up : How to Prepare to Make Your Startup Dream a Reality,Pankaj Goyal,Business & Economics,Economics,Paperback,₹174.00,4.3,2425.0,Swapan Shaw,2021.0,9798771802954,1.9488
375,"Blue Ocean Strategy, Expanded Edition",W. Chan Kim,Business & Economics,Economics,Paperback,₹260.00,4.6,5109.0,W. Chan Kim,2016.0,9781633692879,2.912
377,The Communist Manifesto,Karl Marx,Business & Economics,Economics,Paperback,₹98.00,4.4,11916.0,David Boyle,2004.0,9780764128387,1.0976
382,The Power of Your Subconscious Mind,Joseph Murphy,Business & Economics,Economics,Kindle Edition,₹103.95,4.5,1085.0,Joseph Murphy,1963.0,1490472673,1.16424
383,Reminiscences of a Stock Operator,Edwin Lefèvre,Business & Economics,Economics,Paperback,₹302.00,4.4,3940.0,Edwin Lefevre,1985.0,0471059706,3.3824
384,The Wealth of Nations,Adam Smith,Business & Economics,Economics,Paperback,₹449.00,4.5,2048.0,Adam Smith,1920.0,1604502851,5.0288
387,How to Develop Self-Confidence & Influence People By Public Speaking,Dale Carnegie,Business & Economics,Economics,Paperback,₹119.00,4.4,5134.0,Dale Carneigie,1983.0,9780671472122,1.3328
392,Reminiscences of a Stock Operator,Edwin Lefevre,Business & Economics,Economics,Kindle Edition,₹42.70,4.4,3940.0,Edwin Lefevre,1985.0,0471059706,0.47824000000000005
401,"Communication Book, The",Mikael Krogerus,Business & Economics,Industries,Hardcover,₹198.00,4.2,951.0,Joseph A. DeVito,1986.0,9780060416515,2.2176
402,Shoe Dog,Phil Knight,Business & Economics,Industries,Paperback,₹321.00,4.6,58096.0,Phil Knight,2016.0,1471146731,3.5952
405,Grit (L),Angela Duckworth,Business & Economics,Industries,Paperback,₹399.00,4.5,18186.0,Harvard Business Review,2021.0,1647820707,4.4688
407,HOOKED,Nir Eyal,Business & Economics,Industries,Hardcover,₹453.00,4.6,7474.0,Hooked on Phonics,2005.0,1931020302,5.0736
408,Chip War,Chris Miller,Business & Economics,Industries,Paperback,₹575.00,4.7,5610.0,Chris Miller,2022.0,1982172002,6.4399999999999995
409,Measure What Matters,John Doerr,Business & Economics,Industries,Paperback,₹600.69,4.5,8656.0,John Doerr,2018.0,0525538348,6.727728000000001
413,The Industry Handbook,Zebra Learn,Business & Economics,Industries,Hardcover,"₹1,490.00",4.2,149.0,Paul Rutter,2016.0,9781317434597,16.688
414,Elon Musk,Ashlee Vance,Business & Economics,Industries,Audible Audiobook,₹820.00,4.5,31987.0,Ashlee Vance,2016.0,6077473677,9.184
417,The World for Sale,Jack Farchy,Business & Economics,Industries,Paperback,₹401.00,4.6,2766.0,Gilbert Parker,1920.0,142645211X,4.4912
420,Everyday Ayurveda (Hindi),BHASWATI BHATTACHARYA,Business & Economics,Industries,Paperback,₹205.00,3.9,65.0,Desconocido,,9780143429869,2.296
422,METABOLICAL,Dr Robert Lustig,Business & Economics,Industries,Paperback,₹500.00,4.6,3779.0,Haylie Pomroy,2013.0,0091948185,5.6
423,"Blue Ocean Strategy, Expanded Edition",Renee A. Mauborgne,Business & Economics,Industries,Hardcover,₹958.00,4.6,5109.0,W. Chan Kim,2016.0,9781633692879,10.7296
425,Sam Walton : Made In America,Sam Walton,Business & Economics,Industries,Mass Market Paperback,₹267.00,4.4,6847.0,Sam Walton,2005.0,8535219714,2.9904
432,Samanya Hindi,Onkaar Nath Verma,Business & Economics,Industries,Paperback,₹110.00,4.2,1444.0,LUCENT'S PUBLICATIONS,2017.0,9789384761172,1.232
435,Business School,Robert T Kiyosaki,Business & Economics,Industries,Paperback,₹227.00,4.4,2107.0,Mark H. McCormack,1984.0,9780553050615,2.5423999999999998
439,Hooked: How to Build Habit-Forming Products,Nir Eyal,Business & Economics,Industries,Kindle Edition,₹309.30,4.6,7474.0,Nir Eyal,2022.0,9798987396605,3.46416
441,Becoming Trader Joe,Joe Coulombe,Business & Economics,Industries,Paperback,₹529.69,4.3,675.0,Joe Coulombe,2021.0,1713598116,5.9325280000000005
448,What the CEO Wants You to Know: How Your Company Really Works,Ram Charan,Business & Economics,Industries,Paperback,₹389.00,4.4,531.0,Ram Charan,2001.0,9780609504239,4.3568
449,(ISC)2 CISSP Certified Information Systems Security Professional Official Study Guide & Practice Tests Bundle,Mike Chapple,Business & Economics,Industries,Paperback,"₹5,210.00",4.7,1208.0,Mike Chapple,2021.0,1119790026,58.352
460,THE KOALA WHO COULD,Rachel Bright,Children's Books,Animals & Pets,Paperback,₹289.00,4.7,6586.0,Rachel Bright,2016.0,9786257662031,3.2368
463,The Rabbit Listened,Cori Doerrfeld,Children's Books,Animals & Pets,Hardcover,₹389.00,4.9,4309.0,Cori Doerrfeld,2018.0,9781912650149,4.3568
470,How The Bamboo Got Its Bounty,Sudha Murty,Children's Books,Animals & Pets,Hardcover,₹137.00,4.6,14.0,Sudha Murty,2024.0,0143458191,1.5344
479,Goodnight Moon,Margaret Wise Brown,Children's Books,Animals & Pets,Board book,₹270.00,4.4,45510.0,Margaret Wise Brown,1947.0,0694010081,3.024
480,Peppa Pig Super Stickers Activity Book,,Children's Books,Animals & Pets,Paperback,₹259.00,4.6,3609.0,Peppa Pig Staff,2016.0,0241252679,2.9008
481,GERONIMO STILTON: THE KINGDOM OF FANTASY,GERONIMO STILTON,Children's Books,Animals & Pets,Paperback,₹380.00,4.6,3955.0,Elisabetta Dami,2018.0,8413893577,4.256
484,Llama Llama Red Pajama,Anna Dewdney,Children's Books,Animals & Pets,Board book,₹344.00,4.8,11992.0,Anna Dewdney,2017.0,0451474570,3.8528
487,Monkey Puzzle,Julia Donaldson,Children's Books,Animals & Pets,Board book,₹284.00,4.7,9365.0,Julia Donaldson,2016.0,9785907022041,3.1808
489,THE INCREDIBLE HISTORY OF THE INDIAN OCEAN,SANJEEV SANYAL,Children's Books,Animals & Pets,Paperback,₹162.00,4.5,386.0,Sanyal Sanjeev,2020.0,0143446010,1.8144
491,Fantastic Mr Fox,Roald Dahl,Children's Books,Animals & Pets,Paperback,₹227.00,4.6,9878.0,Roald Dahl,1970.0,8420482919,2.5423999999999998
497,The Golden Key (Geronimo Stilton and the Kingdom of Fantasy #15),Geronimo Stilton,Children's Books,Animals & Pets,Hardcover,₹399.00,4.4,185.0,Elisabetta Dami,2018.0,8413893577,4.4688
499,"ZOOM, ZOOM, BABY!",Karen Katz,Children's Books,Animals & Pets,Board book,₹231.00,4.6,1966.0,Karen Katz,2014.0,9781442493148,2.5872
503,Flowers Coloring Book for adults,Wonder House Books,Children's Books,"Cars, Trains & Things That Go",Paperback,₹99.00,4.4,129.0,sk painting house,2020.0,9798624543461,1.1088
509,My first Travel Sticker Book,Wonder House Books,Children's Books,"Cars, Trains & Things That Go",Paperback,₹139.00,4.4,536.0,Wonder House Books,2018.0,9388144953,1.5568
514,"ZOOM, ZOOM, BABY!",Karen Katz,Children's Books,"Cars, Trains & Things That Go",Board book,₹231.00,4.6,1966.0,Karen Katz,2014.0,9781442493148,2.5872
516,Mandala Coloring Book For Adults,Wonder House Books,Children's Books,"Cars, Trains & Things That Go",Paperback,₹99.00,4.3,55.0,Mahna. V Publication,2021.0,9798751739690,1.1088
518,Daughter of the Deep,Rick Riordan,Children's Books,"Cars, Trains & Things That Go",Paperback,₹259.00,4.7,4168.0,Rick Riordan,2021.0,1368078516,2.9008
520,Little Blue Truck,Alice Schertle,Children's Books,"Cars, Trains & Things That Go",Board book,₹667.00,4.9,19039.0,Alice Schertle,2008.0,0152056610,7.4704
522,The Octonauts Explore The Great Big Ocean,Meomi,Children's Books,"Cars, Trains & Things That Go",Paperback,₹376.00,4.8,3884.0,Meomi,2018.0,9780007510610,4.2112
524,Lost And Found,Oliver Jeffers,Children's Books,"Cars, Trains & Things That Go",Paperback,₹306.19,4.7,3435.0,Anne E. Schraff,2002.0,9780439898393,3.429328
528,Don't Let the Pigeon Drive the Bus!,Mo Willems,Children's Books,"Cars, Trains & Things That Go",Paperback,₹275.00,4.7,20.0,Mo Willems,2023.0,6059933270,3.08
529,Where Do Diggers Sleep at Night?,Brianna Caplan Sayres,Children's Books,"Cars, Trains & Things That Go",Board book,₹344.00,4.8,14454.0,Brianna Caplan Sayres,2012.0,0375980989,3.8528
533,Nature Garden Coloring Book for Adults,Wonder House Books,Children's Books,"Cars, Trains & Things That Go",Paperback,₹99.00,4.3,34.0,King It net Coloring Book House,2022.0,9798847830805,1.1088
535,"Hello, World! Construction Site",Jill McDonald,Children's Books,"Cars, Trains & Things That Go",Board book,₹290.07,4.8,1462.0,Jill McDonald,2020.0,9781984896711,3.2487839999999997
537,TRAINS,Emily Bone,Children's Books,"Cars, Trains & Things That Go",Hardcover,₹149.00,4.5,234.0,Agatha Christie,1928.0,9780671459611,1.6688
539,The Octonauts And The Frown Fish,Meomi,Children's Books,"Cars, Trains & Things That Go",Paperback,₹318.69,4.8,773.0,Meomi,2010.0,9780007312535,3.569328
541,What Do People Do All Day?,Richard Scarry,Children's Books,"Cars, Trains & Things That Go",Paperback,₹261.61,4.6,632.0,Richard Scarry,1968.0,9780007189502,2.930032
543,The Last Kids On Earth And The Doomsday Race - The Last Kids,Max Brallier,Children's Books,"Cars, Trains & Things That Go",Paperback,₹241.00,4.9,2123.0,Max Brallier,2021.0,9780008521974,2.6992
546,Cars – Read it yourself with Ladybird (non-fiction) Level 1 Ladybird,Ladybird,Children's Books,"Cars, Trains & Things That Go",Hardcover,₹104.00,4.1,151.0,Ladybird,2016.0,9780241244449,1.1648
557,"Diary of a Wimpy Kid: Diper Överlöde (Book 17) (Diary of a Wimpy Kid, 17)",Jeff Kinney,Children's Books,Comics & Graphic Novels,Paperback,₹227.00,4.5,11212.0,Jeff Kinney,2023.0,9781419767746,2.5423999999999998
558,Diary of a Wimpy Kid: Rodrick Rules (Book 2),Jeff Kinney,Children's Books,Comics & Graphic Novels,Paperback,₹227.00,4.6,17834.0,Jeff Kinney,2009.0,0143304550,2.5423999999999998
